mql_id,first_contact_date,landing_page_id,origin
4da6c4d07033d355453ce49273d591c6,2018-05-18,0c83f57c786a0b4a39efab23731c7ebc,
5db413912b703e46bc1aaee48504bfae,2018-03-13,b360f694e319be64b87987476137d1a2,
f1a58918e5937cbf008a17b8ce77b579,2017-07-20,ce7bafe02f8fb1a3f15f52a9c239d0ef,
a8641042a65f0cb99c82df186d88b182,2018-02-19,1e884e3078d9978e216a027ecd57fb34,
169ea72d893b7bfe6a36b531a78b48af,2018-04-25,9fa37f5177115156b1814ffc237402a6,
5290b66ff9e0c1115614365d8e20f10c,2018-03-15,330b9d44078a1ae5a221d655dcb77afa,
0524bbc7d57d3edbd146cb19bbd4d1f2,2018-04-24,22c29808c4f815213303f8933030604c,
916cb4b04f32e307ee2a5c32c8d4f7b7,2018-04-18,e534a08b23c682d94859d0ab860bd57a,
9efa87e164995a7743eca9ad63029fa4,2018-04-05,7fa6214d82e911d070f51ef79381b956,
621461af90cadfdaf0e8d4cc25129f91,2018-04-02,c6f28f804cf6330e6de735ef6e6fe95c,
d2ac71782272659e7171150d20d59158,2018-05-14,a850a8a187e36cb07a8d06700d141993,
d41380111f8558d2a5a9da7a095bbd0f,2017-12-21,b3346ddd5d7b2edda306d8f531e58660,
947d64ec18585d216e88d3eef72267d2,2018-02-12,3cd2a8301d5395f21cdd3094c9eaa2f4,
28b666d0bbf15152aca966add171113d,2018-04-09,d41d8cd98f00b204e9800998ecf8427e,
d788c46ad6a6c020b5062c1a99f55b2c,2018-05-15,0c83f57c786a0b4a39efab23731c7ebc,
4b98e90ba839623e88d5b3d6dce56562,2017-12-14,99b00c6e27db383d844d1763dbcbfe06,
6b0ac5c5ab0f8939442c42704c5493b0,2018-05-25,9d72960ad2cfeaa46192fa3dba4e498e,
b51d0ceea431fc2d4569650b64bd22de,2018-05-21,22c29808c4f815213303f8933030604c,
9ff478a05056d2fe0d7d1e1dd9b35a5f,2018-01-23,80d35379df4ce2f5297acefc78f60907,
19f3ca179d09e8518d25a28d8e4e443f,2018-05-28,58326e62183c14b0c03085c33b9fdc44,
f5baaf0afe419681731ec3d30dafd954,2018-04-30,1ec5f5ec77c51a968271b2ca9862907d,
46a5a92c481d5d4e0478d68bad240fc6,2018-02-12,afff7cfc8b8e50b09fa8840a9cecd5dc,
2b35567523c67c1a9c32ef101ae7bc73,2018-03-14,2635743d5842a4475730345cf894efce,
d62e62abe24dcaa94f9e1b3678477b51,2018-03-15,da14b7e2eb0d1eecf65abbd05a31c87d,
eff2afaf73d134f6ea9eb98ff373426c,2018-05-02,f80696b73d17fb34f5c4fde157f119d8,
9e4903ea29841bc16eab71500292e9b0,2018-05-21,0c83f57c786a0b4a39efab23731c7ebc,
ad3a14270fa2d83b1fec766852384865,2018-02-12,1e884e3078d9978e216a027ecd57fb34,
61681a30d47dc8b1ec5180ccdec26ba5,2018-01-24,30077c17f2ec5010a82e37ad8925b95f,
33ce1e734d9d50629fa2c36769285d53,2017-07-11,d41d8cd98f00b204e9800998ecf8427e,
13170ed0153d4bc4d2c8bd6016634aaf,2018-02-26,f77960785994c89e81217aa876672703,
a6bf24ce0939b46b6536e02a3d244cc3,2018-02-27,6b6c0934205e87702519d1cce24055f9,
baf5ecd84c6a8766519b98f66eec1511,2018-05-10,6dca9fc31d8a95cdbcfafcc307012768,
66ff0b5dbb060ef47f756d33cf170f97,2018-04-30,b3346ddd5d7b2edda306d8f531e58660,
8d57c03206c460f9e9637e46b8337713,2018-05-19,5dc848e7dd9418dffe183215b8ff0bc1,
5ce7df80a9e32ee366f578e7ad3d290a,2017-08-09,d41d8cd98f00b204e9800998ecf8427e,
1785cff273aedbd875c814b46928ad7f,2018-05-08,22c29808c4f815213303f8933030604c,
9542f2f27285580fe8d6aa82e179ed28,2018-01-18,b3346ddd5d7b2edda306d8f531e58660,
7998e8b20a8a78bcc791977fee27fc81,2018-03-14,8345a83d419160e69c0501b494dadfa6,
7cc538b1337957dae283c30ad46def38,2018-05-01,58326e62183c14b0c03085c33b9fdc44,
6c1f11f779599fe6d280c41d644ed43b,2018-03-12,6b6c0934205e87702519d1cce24055f9,
5735438d64589c7672b1b246cc3b2b24,2018-04-05,1ceb590cd1e00c7ee95220971f82693d,
