product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
fbd2a9aa1f115244e2ce115ad8eacfca,,,,,1200.0,33.0,2.0,27.0
ab1741a86f20ab3aca7dd2c347d5a9e3,,,,,3600.0,39.0,10.0,35.0
fa7fc74ae3858461908b3503b355fd5e,,,,,17100.0,42.0,80.0,30.0
014fcf6bd5cd4c7ee29fb3bb618c445e,,,,,7000.0,55.0,30.0,45.0
be59f0b9bd1d08d096188f98168fc987,,,,,3550.0,40.0,10.0,40.0
9f6e8441548dd40516cdb98f1b29c3d5,,,,,2700.0,44.0,13.0,44.0
d73f1e4ad0322d8442fc9591505381aa,,,,,500.0,35.0,25.0,35.0
b17a4e7b997ea645dd323bb1bed802ac,,,,,600.0,24.0,4.0,15.0
8d39a63db6a98e40571f486e0c711cf7,,,,,450.0,16.0,7.0,11.0
1a1dba78177cbabf00a2e1eab46e62b6,,,,,700.0,35.0,35.0,15.0
3846c262ddb08db0ea2cc1a1685590ff,,,,,600.0,18.0,18.0,18.0
b3f3d2afe706552a90fd99f870e4ddf5,,,,,3000.0,33.0,40.0,22.0
3e6092cf0f56b9c78bcbd539157b9f70,,,,,400.0,17.0,17.0,17.0
8d3367004d60f40855db4a5bbbabfdb6,,,,,900.0,22.0,4.0,14.0
09337f4d317bae01dfa96e6d368eafc4,,,,,800.0,38.0,10.0,16.0
645fd9f79f14fad6e8a79fbc94dae528,,,,,5100.0,30.0,20.0,30.0
39fda099b9edc21f85a80d14021579b5,,,,,300.0,16.0,2.0,11.0
6ad6cc284cdcc1cdd2f06eef8d983913,,,,,100.0,22.0,6.0,11.0
40a1e3c65a0bcf6f4ebba840a8156ba2,,,,,200.0,16.0,10.0,13.0
a08ffa6ecdd0ab3c1f4fe348acc2553b,,,,,1000.0,40.0,8.0,40.0
6fe7ef5f743e7b92a2c74264f40d0437,,,,,6100.0,80.0,5.0,60.0
b607bf5bab84cb38111d2b6a10164385,,,,,200.0,16.0,2.0,20.0
d1802b79d2e79841cc2cadedd8d4e6a3,,,,,900.0,32.0,10.0,11.0
aaa391b7c35a628a6318851e8e933e0b,,,,,200.0,16.0,2.0,11.0
3d103df80d5d22d709244fe27bc29a8d,,,,,200.0,16.0,2.0,11.0
73df0070248804951b5c6ba9537c6fc3,,,,,100.0,16.0,6.0,11.0
fb09c649a144a9dfd4546612891e1f11,,,,,2000.0,38.0,12.0,38.0
c7858457bc43561ccb96aaa2932cb085,,,,,10750.0,35.0,65.0,35.0
e9cbc0910ab050cbd92fbeb051c270ea,,,,,600.0,32.0,15.0,28.0
0502d1a36be75bd36b452f31c6ed264a,,,,,100.0,16.0,7.0,11.0
bc0cf6f75f7db177ba3d47677f5e467f,,,,,200.0,16.0,2.0,11.0
8229dca25207625966da8cffda27446c,,,,,700.0,24.0,4.0,15.0
0a7a5763f6ee3b862ca27208f8fbbdb7,,,,,1000.0,20.0,15.0,20.0
eef398550dd9575d23eb2d8be74bd45a,,,,,1100.0,35.0,15.0,20.0
a61e6f38c9e407c7d764ea09d34b0a76,,,,,200.0,16.0,2.0,11.0
bf1ce2996ddec3052749c74b73b02b86,,,,,400.0,18.0,7.0,17.0
52a5346c9dae9cd560b103875b94d123,,,,,200.0,22.0,14.0,14.0
21e4321fa558327afe025bfb800a8bff,,,,,1500.0,27.0,8.0,19.0
e49a57a6afd465b7d3cd109daf09ca98,,,,,220.0,21.0,11.0,16.0
e64befe356dccc6ed0073c124147269f,,,,,200.0,25.0,5.0,15.0
b02a3f9824b29932f36a74d811f1b14c,,,,,2500.0,58.0,18.0,45.0
d64615580eb89e5d9a6ae0e37135a5fe,,,,,300.0,16.0,7.0,11.0
bfb85a2851757334da980ac9893a6261,,,,,200.0,16.0,2.0,11.0
60d1e2123927bc621354b0ab11cc8fd5,,,,,300.0,16.0,19.0,16.0
73c5d3186138770b5ae53055adf10ad9,,,,,300.0,78.0,10.0,22.0
a2d0e33d71561d8116565565a6f68578,,,,,150.0,16.0,16.0,16.0
0ae10ca52e6cb8745e17c11e7c43907c,,,,,700.0,30.0,30.0,30.0
1f5542855786adc0116f56cfd6f9f830,,,,,150.0,20.0,5.0,20.0
05cf9ac595f28386ee763c98cbc2bad0,,,,,150.0,20.0,3.0,13.0
6868e3f08c6acd37b48c785aedddfdb7,,,,,1000.0,29.0,5.0,27.0
86047e935e01608082bdae92e41a11db,,,,,1045.0,30.0,19.0,20.0
08a59a7c557b1b8d49e5029a337d83fd,,,,,400.0,28.0,6.0,27.0
d6bcc9649c52a826c656563ffb87a036,,,,,200.0,16.0,2.0,11.0
2f282449dadb2e59ff2afcde0bd9f393,,,,,1600.0,45.0,25.0,25.0
d7b39598905ba8e791fe3f1f376d59f9,,,,,200.0,28.0,9.0,18.0
519693b7e29749ed7b6ad60cb07b9400,,,,,200.0,25.0,2.0,18.0
0ed27993e016d4546e2038bfd75b812c,,,,,1000.0,48.0,8.0,39.0
4257f45f6ea58aa46885ed7ef723b6c0,,,,,2300.0,29.0,13.0,25.0
bb69b35babb38529a803d3f77d1e7454,,,,,850.0,30.0,20.0,20.0
242a6abd32d7630b48ef5c0a1bf527eb,,,,,400.0,35.0,16.0,35.0
45a15b38cc3c0514717a1de673c6193c,,,,,250.0,17.0,8.0,13.0
fcde1899043318107d8f0ae043f69bc3,,,,,400.0,35.0,7.0,12.0
ed000a9f9f04376551e24de254464c9e,,,,,7400.0,40.0,6.0,35.0
dc9f66a56b89e4278d921898a861a29a,,,,,200.0,22.0,3.0,22.0
6627f494b45486e462e2bb460fcb18e5,,,,,445.0,17.0,12.0,29.0
9df852a6c839bc3202227666d70c7cae,,,,,9150.0,49.0,32.0,35.0
74ba0cd1f694e0751c7240443e5a038b,,,,,1000.0,32.0,3.0,23.0
17b9f231d057710012fe28e5a1ac5186,,,,,10600.0,40.0,40.0,30.0
9b6459fd1853c7e4422ff0bdd8184cb3,,,,,2000.0,80.0,60.0,11.0
46255a421f244cd985f138a63d77d09c,,,,,15500.0,51.0,50.0,36.0
f58e45b16a42a325c144eb2c46a2bc57,,,,,6250.0,28.0,34.0,40.0
71225f49be70df4297892f6a5fa62171,,,,,200.0,16.0,2.0,11.0
62fde58e97724f8b7519f3789eefa33f,,,,,600.0,35.0,35.0,15.0
db1d1a4569fdbae28a0d3340d907f7af,,,,,400.0,16.0,5.0,12.0
194163a8a65a48a8c95623c399a9d4a7,,,,,1600.0,48.0,8.0,39.0
cae7a908351ea0b7acb0086a51f6f565,,,,,400.0,25.0,7.0,11.0
31dbb0d1815bdc83c93f4b3472fa7c4d,,,,,300.0,24.0,24.0,11.0
6d0af4d8b482cc38d72acafc37bdd8f1,,,,,2400.0,34.0,33.0,19.0
0103863bf3441460142ec23c74388e4c,,,,,200.0,16.0,2.0,11.0
7e005c651eec410691559257f9ef8f64,,,,,1200.0,40.0,10.0,15.0
15f773b4fea5b2ab681b02620b0c3a95,,,,,750.0,16.0,25.0,15.0
b01cedfa96d891427058852f0625e9ee,,,,,4900.0,42.0,16.0,37.0
9d09d82a6838777302175f209dcfc4ec,,,,,400.0,16.0,15.0,11.0
0082684bb4a60a862baaf7a60a5845ed,,,,,500.0,24.0,4.0,15.0
4f0aa1e91719362daf498003e6ad4177,,,,,1800.0,20.0,30.0,20.0
3373d1ed7bf5f3187f110c0e9e40a02b,,,,,200.0,25.0,5.0,15.0
b20dff2518b593f3092fb7b3ba13588e,,,,,750.0,30.0,19.0,18.0
cf1c83c0097bce11c715b94f292769b5,,,,,800.0,20.0,12.0,15.0
8c7274c4e638e7f229007fe28aafc741,,,,,1950.0,40.0,8.0,30.0
a8e59319e3c44b5af3a5412d713af5bb,,,,,200.0,16.0,12.0,15.0
0b2f52bff0f8a4536a315bbdc34d8398,,,,,200.0,16.0,2.0,11.0
19bdfd05824c29bf495c9f5408c26635,,,,,1400.0,40.0,15.0,40.0
c321936f167cdd14866ac591eea36f38,,,,,1300.0,30.0,10.0,20.0
1fde73e6b6d28627ff16e222b0044b10,,,,,500.0,22.0,11.0,11.0
00d62b338366db4c4aec8547ea8f928e,,,,,400.0,24.0,4.0,15.0
12ad6d9a5da40908f6741145e1a93443,,,,,5850.0,36.0,27.0,54.0
14086fd4907ab4135efce70c2cd3c013,,,,,200.0,22.0,14.0,14.0
817a68e75e8fc94fa28915d8169d67bf,,,,,800.0,40.0,5.0,50.0
50f39d42ee3c1155a39f330b0b53c735,,,,,500.0,16.0,19.0,12.0
b5d80a1b72c94ff284760dabb4fb776b,,,,,400.0,16.0,15.0,15.0
82758517d6c9cc65c509781f1e14e9f2,,,,,900.0,31.0,13.0,20.0
c4d92c32b2e02363d3f087c7156a523c,,,,,800.0,30.0,13.0,15.0
ea11e700a343582ad56e4c70e966cb36,,,,,26000.0,67.0,57.0,46.0
9820e04e332fc450d6fd975befc1bc28,,,,,10800.0,40.0,40.0,30.0
96cadd6d137bc9726fe1fae279d48631,,,,,1300.0,25.0,15.0,14.0
e275b12a1775bcc17af5524af5ba80b4,,,,,500.0,35.0,7.0,40.0
ad113e2e3b77e66ef6ecfd7386cd13ac,,,,,1700.0,16.0,36.0,13.0
ea8062a20ca055f459f3a99eccdec4b5,,,,,200.0,22.0,14.0,14.0
a8cb589d0aa5e6308a8fcf133ecca711,,,,,990.0,18.0,27.0,17.0
5455dbe20e64b08413e0f2c451e31ab9,,,,,700.0,43.0,7.0,54.0
41f1e5a38185a9ae6090a552b712ba43,,,,,200.0,16.0,2.0,11.0
f9b1795281ce51b1cf39ef6d101ae8ab,,,,,400.0,32.0,15.0,15.0
06ddfdf210c7e0259854ee543215088d,,,,,100.0,16.0,3.0,11.0
270e70a55f9a0917f86b37cb32afcddd,,,,,300.0,30.0,6.0,12.0
e891d4a9622cae3b9fc2ec558bda155b,,,,,400.0,50.0,5.0,11.0
e76828e87d341935c7d4e9f26420cda0,,,,,2250.0,31.0,19.0,23.0
e948cf75e6b64307f7f76a49eaa9fc2f,,,,,2300.0,36.0,21.0,36.0
83f86eca5473b6d1c7d566223592908d,,,,,200.0,16.0,2.0,11.0
541bc0bf3c3255ee2d44f3863336095e,,,,,4200.0,64.0,40.0,48.0
beec9bc2305d3372fa3b3133ba3fd644,,,,,3000.0,40.0,40.0,40.0
7285e977b36a2243203636b240772c5e,,,,,400.0,25.0,8.0,11.0
17823ffd2de8234f0e885a71109613a4,,,,,3750.0,42.0,20.0,24.0
c230b471b7e21ff9060e68ee154afd70,,,,,200.0,16.0,5.0,11.0
fe34503c6bccf918db601aaafd4a975a,,,,,3000.0,16.0,21.0,19.0
0c877471e35049402bca235e06cb8063,,,,,10750.0,34.0,20.0,30.0
1574ed2c73e4465c572f68dd77528203,,,,,16000.0,58.0,28.0,58.0
09ff539a621711667c43eba6a3bd8466,bebes,60.0,865.0,3.0,,,,
d2eb4e94aeb255a953cbd8b97361a848,,,,,300.0,28.0,28.0,11.0
8ef13bdd5d6da4bc50df1aaa486bf922,,,,,25800.0,34.0,84.0,54.0
5a670fea12f6946f0dcb3fbb9728645d,,,,,600.0,26.0,3.0,26.0
4ba237d0c64f22e4d22ec19af9cfd1f4,,,,,17100.0,60.0,40.0,42.0
11f683ded5ddeecdad0b81b3124c3395,,,,,300.0,16.0,2.0,11.0
3d2d7eac865e47ff3939ea01aa56fb96,,,,,300.0,16.0,13.0,13.0
5f5ee6e720308ce93007ce17c0835883,,,,,250.0,20.0,21.0,16.0
67c4868694e75a87d7d0417c14fc26a3,,,,,400.0,16.0,16.0,13.0
2aa23c51528b71a1c9f2ce72f4fc9ad8,,,,,200.0,35.0,4.0,25.0
f52a0f70e54976873a4a7402349c6105,,,,,1500.0,70.0,4.0,18.0
b67444235c5d1da1b9e136f66fdf3fd0,,,,,7800.0,37.0,24.0,34.0
ae4c65e3aee93bc068c671453b8aaea4,,,,,1300.0,35.0,35.0,35.0
a14aea6067b93158e956612c50b74cfa,,,,,12900.0,50.0,30.0,30.0
9246752373bd625f47da5e3d8b41b1dc,,,,,700.0,20.0,21.0,20.0
b44922681ddcd1565a9d62932f20dcfe,,,,,200.0,16.0,2.0,11.0
2221e4ebc496addaa386a27a6a19e9b2,,,,,800.0,29.0,11.0,23.0
1b1654fea0a8269f9ba9a1e1258edb61,,,,,150.0,16.0,2.0,11.0
c31d2c7898c24ea73ab60e0660fd693f,,,,,395.0,26.0,6.0,18.0
7899001d8d8933d11d0f18ec5943f79e,,,,,1000.0,29.0,11.0,14.0
1631507f13bd83d2f01e4fea424c852b,,,,,200.0,16.0,2.0,11.0
e43443a05db61acfccaca5876b804ba7,,,,,500.0,30.0,19.0,18.0
e20be15ef3888b958c8a76a2f0edfc25,,,,,400.0,25.0,8.0,11.0
0b7fb806fe0194cc7eb473329c680e34,,,,,1000.0,28.0,11.0,28.0
44d53f1240d6332232e4393c06500475,,,,,200.0,16.0,12.0,11.0
91fd85f0ce4e46aba09a5777469f4127,,,,,250.0,22.0,14.0,14.0
8a26f391ab8b209f67d87dd358f6f004,,,,,2200.0,24.0,28.0,24.0
e952feb7c657aae141c56f208088d511,,,,,600.0,16.0,30.0,11.0
1b930f20f389f3e3d057b9e3e85ca83d,,,,,600.0,38.0,5.0,27.0
837f3d09b625825bd84bfccb1f51d8be,,,,,300.0,20.0,6.0,26.0
76d1a1a9d21ab677a61c3ae34b1b352f,,,,,550.0,16.0,7.0,11.0
3bc5164bc7f4be77002d6651da65c98c,,,,,550.0,16.0,11.0,19.0
e6d256dd10cfa8e1f36c0423d2b3adff,,,,,450.0,20.0,12.0,15.0
8d2ed4fec68ea93ec092cbab0e1a92b5,,,,,200.0,16.0,5.0,15.0
dc265762419b1b4a46eb0a242e713684,,,,,200.0,35.0,5.0,25.0
882ae61d3259507f5c3ce5313f433651,,,,,200.0,16.0,2.0,11.0
5066fb9bf2b3db42c59f2f7732387249,,,,,380.0,16.0,4.0,11.0
51189083f547bae6df07c55c7b997001,,,,,3000.0,30.0,20.0,30.0
f59062775ff63deba00e8b425f127e35,,,,,1400.0,32.0,36.0,20.0
704a6d9f35e39b53c509c886045329ef,,,,,400.0,21.0,8.0,11.0
ef60a683caacd212b1cc7b356283c2de,,,,,600.0,16.0,16.0,16.0
0b3f73dba78abf4576c187092dc5dc81,,,,,1300.0,30.0,16.0,20.0
2873da054c3a30189c5aac7b87d3b6e9,,,,,1150.0,40.0,11.0,15.0
9e61de7e3ef7e99896060d76e48df65d,,,,,10700.0,40.0,40.0,40.0
f92119d44c137a84ea866dc12df68407,,,,,3100.0,30.0,40.0,30.0
75f54c6aa3a4ccb9ab44fae693c21418,,,,,850.0,30.0,24.0,18.0
28b04f8634b7c9c6e3a41fbd0271e295,,,,,250.0,28.0,10.0,23.0
f22ccf28078d6ba8961033bc6a20bc12,,,,,1500.0,30.0,10.0,36.0
5d3e31adf8ff92075c3848f021abaf06,,,,,550.0,16.0,11.0,23.0
7775d718fa8dfebe8015e6e5ee3dc5be,,,,,700.0,16.0,10.0,20.0
4e0d588f8e002f2bad9cbe0b8f66f6f6,,,,,200.0,25.0,5.0,15.0
13c68a908e3ec61b48544be41a74e8cd,,,,,6050.0,50.0,18.0,40.0
2ddbeb76f134690c05636162f2558594,,,,,1400.0,35.0,10.0,35.0
1b7384e0f9f5e4cb914cd3f5535a4cab,,,,,200.0,16.0,3.0,12.0
3c59055b72a9160589590ca99611487e,,,,,150.0,16.0,16.0,16.0
c60e25a5b45431b1c12be4d04bc9a7fa,,,,,8050.0,50.0,25.0,37.0
45d0bf74166b507caa830564130b5ba0,,,,,200.0,16.0,2.0,11.0
17e7128a33dae59e32be411b7b4921b5,,,,,200.0,20.0,10.0,16.0
d0fec025748a38a25d8f8adc72e874de,,,,,1100.0,26.0,10.0,20.0
6f6f3b1a96452e2fbad0cd4f7082765b,,,,,2600.0,35.0,33.0,16.0
67f36b3689147d882d2b298fd0715d80,,,,,1200.0,105.0,10.0,20.0
0f4dbfe93fbadcce71e1edce3a3e30f0,,,,,153.0,17.0,14.0,13.0
f7c7bd3105bd26ce0de4072af7159f84,,,,,890.0,32.0,32.0,32.0
44483ca1c9223756ee0ee71c0676d3a3,,,,,1300.0,18.0,28.0,18.0
df3a9e7f7f59298a2bf47cc0917dae1d,,,,,800.0,23.0,5.0,31.0
2b29170916b7bbc58fd9078f0f4e7234,,,,,300.0,50.0,4.0,40.0
3cc10293fcaadd63730fc96e8d136710,,,,,500.0,20.0,35.0,35.0
d99e1e07cdfcb6400db4c4eef7b0b15b,,,,,200.0,18.0,6.0,11.0
c30302f36e15f43c1b85c9cb002028d5,,,,,300.0,18.0,15.0,14.0
cdd63834cc3da0f9225cc20f494dc137,,,,,700.0,25.0,5.0,19.0
c17abb4b4009c10138dec784ec61ba63,,,,,600.0,18.0,16.0,20.0
0538b3ea14af3cc3ee6bdaf940367cee,,,,,150.0,20.0,4.0,20.0
5605e265607c01c1242a18219d7e396e,,,,,2900.0,70.0,15.0,50.0
fcb72602e3e6f59e5fdb5c3a4a3de410,,,,,8750.0,36.0,27.0,54.0
dcea59ebbc38fcdee1974bbe56dc3755,,,,,1350.0,28.0,12.0,28.0
b72e2daf4a916d46eb0076071027d05b,,,,,150.0,16.0,2.0,11.0
e1da02256dce4dee2207c36853547c7b,,,,,7100.0,27.0,28.0,35.0
e2613182a3d5b61459d52f24823134fb,,,,,1900.0,20.0,6.0,11.0
44dcb08478450d530b70de0c5c7c5f4a,,,,,1450.0,40.0,20.0,20.0
03706dca83513062fe74967a71b5fc78,,,,,400.0,25.0,8.0,11.0
212b9c1a73834eeae7694906e168edc6,,,,,450.0,26.0,7.0,12.0
6962734c72522e70e852a2a77d21a730,,,,,10050.0,62.0,6.0,62.0
b0645512783cc56c9510f08e90a40ede,,,,,300.0,20.0,5.0,25.0
ff6caf9340512b8bf6d2a2a6df032cfa,,,,,200.0,16.0,5.0,12.0
d3518f8ee8c8bf28b6a1304145b50219,,,,,1100.0,17.0,18.0,19.0
db06e3f64ff47ef36a46f8530d002fa5,,,,,1300.0,17.0,19.0,20.0
34a4076cd057a823247a5a44e84872d8,,,,,1900.0,40.0,40.0,30.0
0c40401eba358c9ef2ff2df80b6eab52,,,,,500.0,16.0,15.0,15.0
27f0ec8644d62c85b25674aaa6d1124c,,,,,1000.0,40.0,11.0,15.0
124f74f703e88efe001a10bfa718b6ff,,,,,250.0,15.0,8.0,20.0
00ab8a8b9fe219511dc3f178c6d79698,,,,,2100.0,50.0,30.0,30.0
ceda8168fb181a91487d6e924f42334f,,,,,2600.0,43.0,27.0,29.0
1913e11c70ce94032c05b17bbded599a,,,,,400.0,21.0,21.0,18.0
8be128ce3f51211048f4b891e9303381,,,,,3300.0,28.0,20.0,40.0
a133d679c63597e416572ee64d9d6436,,,,,400.0,16.0,92.0,16.0
11ea2b91f0f26a2d693ba6763a2eb4b0,,,,,800.0,35.0,15.0,20.0
c7466f1348d9a1e494343550ac3a2e23,,,,,1050.0,40.0,11.0,15.0
840c7da1a74c54e903c0c6b86d44deed,,,,,500.0,20.0,12.0,15.0
c243b9426a87ba098db1a7da1512d919,,,,,1100.0,80.0,5.0,12.0
34e01766eefd8ee844083f3d1f21653c,,,,,150.0,16.0,16.0,16.0
1b0e39ec889889ea1d492603d8512bfb,,,,,400.0,35.0,30.0,20.0
e4b0320c22018a6aeacee9b991ccb1fd,,,,,200.0,16.0,2.0,11.0
f538ab9eecaa662135da8cb772bc8236,,,,,1100.0,60.0,8.0,20.0
37e4c14527273be66b84b8836bba463b,,,,,1155.0,24.0,16.0,16.0
583916a5dae918f5e89baec139141c54,,,,,3100.0,28.0,28.0,50.0
3125175fa8b71940f198f68b56f992b2,,,,,200.0,16.0,2.0,11.0
930363fe8355b51e7bb4154214246561,,,,,3600.0,50.0,35.0,15.0
c9e0665ea8ce2a04e4db1b53be9fc0d2,,,,,1683.0,34.0,21.0,23.0
f18333439cbbfd0ae30acf09ae09c0f0,,,,,23300.0,56.0,48.0,40.0
7745fa765a4fbc559058c4ad0e5485aa,,,,,200.0,16.0,2.0,11.0
788dbbaefb68cbb1f4cc56ba5151b085,,,,,200.0,16.0,2.0,11.0
04f8b8f9921310178d65bcba23fbe639,,,,,1800.0,21.0,13.0,36.0
631cc372948b89f0211271f2546d9f44,,,,,700.0,20.0,10.0,20.0
33404a09d81156efd8d2299cf5568f1f,,,,,900.0,25.0,25.0,25.0
41bf6a8c9424d4ec060e39e21883db3f,,,,,150.0,22.0,14.0,14.0
7f776a76a6dce545729c997e60240ffa,,,,,1500.0,40.0,4.0,16.0
88d6c305d09a6fdc1c34cb51942a280c,,,,,100.0,16.0,2.0,11.0
c638e232871cb1e760eaa7e724bc3eb2,,,,,300.0,20.0,17.0,13.0
eaecac42c42a65691bc3662b123e884d,,,,,100.0,25.0,2.0,17.0
7e28b562fde0b95bd515cde17eb9bbb6,,,,,350.0,43.0,7.0,28.0
751d70675dda2bae203db325227b8a3c,,,,,3150.0,17.0,40.0,17.0
83fb98f2457985e6333f2e307adc5864,,,,,1800.0,21.0,13.0,40.0
0836db91ee8fd88d685b5a57bed9ede0,,,,,6600.0,57.0,12.0,37.0
7dc0fd89c290eb0b3e5253d19be59f6f,,,,,800.0,20.0,25.0,20.0
946cde79b9ebdfcbd56c52a405cc54dc,,,,,1600.0,40.0,6.0,80.0
5a2a2db3896d33beec6828b898812ad5,,,,,200.0,16.0,2.0,11.0
b71e22caa2e31ed1309fd01850d79ea4,,,,,2900.0,45.0,10.0,30.0
7cb52b1fc31186f200f2ad70fef8d3e4,,,,,200.0,16.0,2.0,20.0
5096c7c3620e53dda164502e228d4779,,,,,400.0,19.0,8.0,13.0
3f602d35212cda35342fc92d0ebc32e1,,,,,200.0,20.0,16.0,16.0
8b67de5ab270587094f963bbed8b3d29,,,,,4600.0,40.0,40.0,40.0
ed906d6a6b38da71e48a5a0037939bfe,,,,,2200.0,36.0,15.0,36.0
9901b5cedc1eb8d69d16d4c3aa8c67d3,,,,,500.0,24.0,4.0,15.0
f4470c119e77b79863901b5d2152fc6f,,,,,250.0,16.0,4.0,11.0
7ee185224a0391c3ef0865347c1898e5,,,,,900.0,40.0,35.0,35.0
43afa94fdd01b7f2a67f3776a8df0d71,,,,,1200.0,27.0,10.0,20.0
9575c58d6ba5856589c410cef0b3f0e0,,,,,1000.0,20.0,15.0,20.0
e0f33a3329af6716a0bb47fd7a664439,,,,,200.0,16.0,13.0,14.0
81abb619b6717f1ff31f79e5d73a215b,,,,,2700.0,24.0,5.0,17.0
bef4997c604c1f7f307936cc0fb143c1,,,,,150.0,16.0,19.0,12.0
df07d0388563ce1b87695a6ae85898da,,,,,350.0,16.0,2.0,20.0
2beff60bb4c8a8f05065bce8148ed01e,,,,,450.0,20.0,22.0,20.0
69c2f05e34d543dc71cfe745bfac8499,,,,,650.0,30.0,3.0,30.0
fd85f34d70edf41fbea6a3269d183e00,,,,,163.0,24.0,18.0,21.0
e987172c2818cc16b2555bc130ac5fac,,,,,4700.0,19.0,52.0,19.0
dcda28837e91de197266ec8d4327d0f6,,,,,9000.0,60.0,40.0,40.0
ce5a07feea47b22089fc735f70ae4931,,,,,150.0,16.0,7.0,13.0
cdbb028dcdcdb294fd86a808b3569c11,,,,,1000.0,24.0,16.0,16.0
4d2481b021cc6916e6c45615ee2d7638,,,,,500.0,20.0,16.0,16.0
4b2c89ca021d0de0c060387a34588316,,,,,200.0,35.0,4.0,25.0
7230bdf5aac37f7e218452287461b3cc,,,,,2300.0,24.0,11.0,24.0
90a57d62c9b9f884fae33a10dff953b4,,,,,600.0,20.0,5.0,14.0
bac2d18d169f029e0721b8aca9c8f269,,,,,300.0,16.0,2.0,11.0
f55cd6a68f96c3041176998ce1850ff3,,,,,200.0,20.0,5.0,20.0
690951ea8e8b7ac46921683da1b4707d,,,,,200.0,16.0,2.0,20.0
036a6272d538ae862d248339c4c9adeb,,,,,1800.0,20.0,12.0,25.0
afbefb1506762049cf9e9bbe2ce06ecc,,,,,830.0,19.0,6.0,26.0
788c40790a78e5fb65513510fc00919c,,,,,2800.0,30.0,20.0,30.0
28fff36d13d492328583ee2b1d72f78f,,,,,300.0,24.0,12.0,16.0
555a2c02091cd2566c9d1852877018f9,,,,,2900.0,22.0,29.0,16.0
adf8f4e4c2e176a9e7437e484066f769,,,,,200.0,16.0,2.0,11.0
